iter	Passed	Remaining
0	5	5822
1	9	4728
2	19	6351
3	23	5929
4	35	7146
5	47	7894
6	56	8067
7	66	8292
8	70	7757
9	73	7300
10	81	7371
11	85	7005
12	88	6694
13	92	6543
14	98	6454
15	101	6232
16	103	5972
17	106	5790
18	111	5778
19	115	5639
20	118	5506
21	121	5387
22	125	5343
23	129	5250
24	132	5161
25	136	5101
26	140	5081
27	144	5015
28	147	4942
29	151	4887
30	154	4830
31	160	4860
32	164	4814
33	167	4767
34	171	4732
35	175	4698
36	187	4867
37	191	4847
38	194	4795
39	197	4749
40	202	4738
41	208	4753
42	212	4724
43	216	4703
44	221	4695
45	224	4665
46	228	4634
47	231	4599
48	235	4577
49	240	4574
50	244	4544
51	247	4511
52	251	4498
53	256	4490
54	259	4462
55	262	4429
56	266	4412
57	270	4400
58	276	4411
59	279	4385
60	283	4363
61	288	4369
62	291	4341
63	295	4314
64	298	4297
65	302	4275
66	305	4253
67	308	4227
68	312	4212
69	315	4189
70	320	4187
71	339	4374
72	342	4353
73	346	4332
74	349	4314
75	353	4302
76	358	4295
77	376	4450
78	381	4449
79	386	4448
80	390	4436
81	394	4412
82	397	4390
83	402	4391
84	406	4377
85	409	4355
86	413	4340
87	415	4306
88	420	4303
89	424	4288
90	427	4267
91	430	4248
92	435	4247
93	439	4233
94	442	4212
95	445	4194
96	449	4185
97	452	4167
98	455	4147
99	458	4129
100	462	4112
101	467	4114
102	472	4115
103	476	4101
104	479	4084
105	485	4095
106	488	4079
107	492	4065
108	495	4048
109	502	4064
110	505	4048
111	508	4035
112	511	4018
113	518	4028
114	521	4014
115	524	3999
116	528	3991
117	531	3972
118	535	3965
119	539	3953
120	542	3938
121	548	3947
122	569	4063
123	573	4048
124	576	4037
125	584	4054
126	587	4040
127	591	4027
128	596	4025
129	600	4021
130	604	4007
131	607	3995
132	614	4004
133	618	3993
134	620	3978
135	625	3970
136	633	3989
137	636	3975
138	639	3961
139	644	3957
140	650	3962
141	655	3958
142	660	3961
143	669	3981
144	673	3970
145	677	3962
146	679	3940
147	684	3942
148	688	3930
149	692	3922
150	696	3914
151	702	3917
152	705	3906
153	710	3902
154	715	3898
155	718	3885
156	721	3874
157	728	3882
158	732	3873
159	736	3865
160	742	3867
161	745	3858
162	749	3849
163	753	3839
164	758	3837
165	761	3826
166	764	3814
167	767	3799
168	770	3787
169	775	3784
170	779	3778
171	783	3770
172	787	3762
173	796	3780
174	799	3771
175	803	3763
176	811	3774
177	815	3766
178	819	3756
179	828	3773
180	831	3764
181	836	3760
182	843	3766
183	846	3755
184	849	3743
185	853	3734
186	859	3736
187	862	3725
188	865	3714
189	868	3703
190	873	3699
191	877	3691
192	880	3683
193	884	3676
194	893	3687
195	898	3683
196	905	3692
197	911	3691
198	921	3710
199	924	3699
200	928	3689
201	931	3679
202	937	3680
203	940	3669
204	943	3659
205	946	3650
206	951	3643
207	955	3636
208	958	3626
209	961	3617
210	963	3602
211	969	3602
212	972	3592
213	975	3583
214	978	3573
215	984	3571
216	987	3562
217	990	3553
218	993	3543
219	996	3533
220	1002	3532
221	1005	3523
222	1008	3513
223	1011	3504
224	1017	3504
225	1021	3497
226	1024	3487
227	1027	3477
228	1030	3470
229	1035	3466
230	1038	3457
231	1041	3447
232	1044	3438
233	1050	3438
234	1053	3429
235	1056	3421
236	1060	3412
237	1065	3411
238	1068	3402
239	1072	3395
240	1075	3386
241	1079	3379
242	1083	3374
243	1086	3367
244	1089	3358
245	1092	3349
246	1098	3349
247	1103	3346
248	1105	3333
249	1108	3324
250	1115	3330
251	1127	3345
252	1142	3372
253	1149	3376
254	1152	3368
255	1155	3359
256	1164	3367
257	1167	3359
258	1171	3350
259	1178	3353
260	1182	3347
261	1185	3339
262	1188	3331
263	1196	3336
264	1200	3329
265	1203	3320
266	1209	3320
267	1214	3316
268	1217	3307
269	1220	3299
270	1227	3300
271	1230	3293
272	1233	3285
273	1236	3277
274	1243	3278
275	1247	3271
276	1250	3263
277	1253	3255
278	1260	3256
279	1263	3248
280	1266	3240
281	1269	3232
282	1276	3233
283	1279	3224
284	1282	3216
285	1285	3208
286	1291	3209
287	1294	3201
288	1297	3192
289	1300	3184
290	1303	3175
291	1308	3173
292	1311	3164
293	1314	3156
294	1317	3147
295	1321	3142
296	1324	3136
297	1327	3127
298	1330	3118
299	1333	3110
300	1336	3103
301	1339	3097
302	1342	3088
303	1345	3080
304	1348	3071
305	1351	3064
306	1381	3118
307	1383	3108
308	1388	3104
309	1391	3096
310	1393	3087
311	1396	3080
312	1399	3072
313	1404	3067
314	1406	3059
315	1410	3052
316	1413	3044
317	1416	3036
318	1420	3032
319	1423	3024
320	1426	3017
321	1429	3010
322	1432	3002
323	1436	2997
324	1439	2990
325	1442	2982
326	1445	2975
327	1448	2968
328	1452	2962
329	1459	2962
330	1462	2956
331	1466	2949
332	1469	2944
333	1472	2936
334	1475	2929
335	1478	2921
336	1481	2914
337	1485	2909
338	1488	2901
339	1491	2894
340	1493	2886
341	1496	2879
342	1500	2873
343	1503	2868
344	1506	2860
345	1509	2853
346	1512	2845
347	1517	2842
348	1520	2835
349	1523	2828
350	1525	2821
351	1528	2813
352	1533	2810
353	1536	2803
354	1539	2796
355	1541	2788
356	1544	2781
357	1548	2777
358	1551	2770
359	1554	2762
360	1556	2755
361	1559	2748
362	1563	2742
363	1566	2737
364	1569	2730
365	1572	2723
366	1574	2716
367	1577	2709
368	1581	2705
369	1584	2698
370	1587	2691
371	1590	2684
372	1592	2677
373	1596	2672
374	1599	2666
375	1602	2659
376	1605	2652
377	1607	2645
378	1612	2641
379	1628	2657
380	1632	2652
381	1635	2645
382	1638	2639
383	1642	2635
384	1647	2631
385	1650	2625
386	1654	2620
387	1657	2614
388	1664	2613
389	1665	2605
390	1668	2599
391	1672	2594
392	1678	2593
393	1683	2589
394	1689	2587
395	1699	2591
396	1705	2589
397	1715	2594
398	1722	2594
399	1733	2599
400	1739	2598
401	1751	2605
402	1762	2611
403	1769	2610
404	1781	2617
405	1787	2614
406	1792	2611
407	1795	2604
408	1798	2598
409	1800	2591
410	1804	2585
411	1807	2579
412	1810	2573
413	1814	2567
414	1817	2562
415	1821	2557
416	1825	2552
417	1829	2546
418	1832	2541
419	1836	2535
420	1841	2533
421	1845	2528
422	1849	2522
423	1853	2517
424	1856	2512
425	1859	2505
426	1862	2499
427	1865	2493
428	1868	2486
429	1871	2481
430	1874	2474
431	1878	2469
432	1881	2463
433	1884	2457
434	1887	2451
435	1890	2445
436	1899	2447
437	1903	2442
438	1907	2437
439	1911	2432
440	1914	2427
441	1918	2421
442	1922	2417
443	1927	2413
444	1934	2412
445	1940	2410
446	1943	2404
447	1947	2399
448	1950	2393
449	1958	2394
450	1961	2388
451	1965	2382
452	1986	2399
453	1996	2400
454	2002	2399
455	2006	2393
456	2009	2387
457	2012	2381
458	2018	2379
459	2022	2374
460	2026	2368
461	2029	2362
462	2034	2360
463	2038	2354
464	2041	2348
465	2044	2342
466	2049	2339
467	2053	2333
468	2056	2328
469	2059	2322
470	2062	2316
471	2068	2314
472	2071	2308
473	2074	2302
474	2078	2296
475	2099	2311
476	2103	2306
477	2106	2300
478	2110	2295
479	2117	2293
480	2120	2288
481	2124	2283
482	2127	2277
483	2135	2276
484	2138	2270
485	2142	2265
486	2149	2263
487	2152	2258
488	2155	2252
489	2159	2247
490	2165	2245
491	2169	2239
492	2172	2234
493	2176	2228
494	2182	2227
495	2186	2221
496	2189	2216
497	2192	2210
498	2199	2208
499	2203	2203
500	2206	2197
501	2210	2193
502	2216	2189
503	2219	2184
504	2222	2178
505	2230	2177
506	2233	2171
507	2236	2166
508	2240	2160
509	2247	2159
510	2250	2153
511	2254	2148
512	2259	2144
513	2263	2140
514	2267	2135
515	2281	2139
516	2284	2134
517	2287	2128
518	2293	2125
519	2296	2120
520	2299	2114
521	2303	2108
522	2307	2104
523	2312	2100
524	2315	2094
525	2318	2089
526	2323	2085
527	2328	2081
528	2331	2076
529	2334	2070
530	2338	2065
531	2343	2061
532	2346	2056
533	2350	2050
534	2354	2046
535	2359	2042
536	2362	2036
537	2365	2031
538	2371	2028
539	2376	2024
540	2379	2019
541	2383	2014
542	2389	2011
543	2393	2006
544	2396	2001
545	2403	1998
546	2410	1995
547	2414	1991
548	2426	1992
549	2429	1987
550	2432	1982
551	2438	1979
552	2442	1974
553	2446	1969
554	2449	1963
555	2453	1959
556	2458	1954
557	2460	1949
558	2463	1943
559	2466	1938
560	2489	1948
561	2492	1942
562	2495	1936
563	2498	1931
564	2501	1926
565	2506	1921
566	2509	1916
567	2511	1910
568	2514	1904
569	2518	1899
570	2522	1894
571	2524	1889
572	2527	1883
573	2530	1877
574	2534	1873
575	2537	1867
576	2540	1862
577	2542	1856
578	2545	1850
579	2548	1845
580	2551	1839
581	2553	1834
582	2556	1828
583	2560	1823
584	2563	1818
585	2566	1813
586	2569	1807
587	2572	1802
588	2575	1797
589	2578	1792
590	2581	1786
591	2584	1781
592	2587	1776
593	2590	1770
594	2593	1765
595	2596	1760
596	2599	1754
597	2602	1749
598	2605	1744
599	2608	1738
600	2611	1733
601	2614	1728
602	2618	1723
603	2620	1718
604	2623	1712
605	2626	1707
606	2629	1702
607	2631	1696
608	2635	1691
609	2638	1686
610	2641	1681
611	2643	1676
612	2647	1671
613	2651	1667
614	2654	1661
615	2657	1656
616	2660	1651
617	2664	1647
618	2668	1642
619	2671	1637
620	2674	1632
621	2676	1626
622	2680	1622
623	2684	1617
624	2687	1612
625	2690	1607
626	2693	1602
627	2697	1597
628	2701	1593
629	2704	1588
630	2706	1583
631	2709	1577
632	2713	1573
633	2717	1568
634	2720	1563
635	2722	1558
636	2725	1553
637	2729	1548
638	2733	1544
639	2736	1539
640	2739	1534
641	2743	1529
642	2748	1525
643	2751	1520
644	2754	1515
645	2757	1510
646	2761	1506
647	2765	1502
648	2768	1497
649	2771	1492
650	2774	1487
651	2778	1483
652	2781	1478
653	2784	1473
654	2787	1468
655	2790	1463
656	2794	1458
657	2797	1454
658	2800	1449
659	2802	1443
660	2806	1439
661	2809	1434
662	2838	1442
663	2841	1437
664	2844	1432
665	2847	1428
666	2850	1423
667	2853	1418
668	2857	1413
669	2860	1408
670	2863	1403
671	2866	1399
672	2869	1394
673	2872	1389
674	2875	1384
675	2879	1379
676	2883	1375
677	2885	1370
678	2888	1365
679	2891	1360
680	2894	1355
681	2897	1351
682	2900	1346
683	2903	1341
684	2906	1336
685	2908	1331
686	2912	1326
687	2914	1321
688	2917	1316
689	2920	1311
690	2922	1307
691	2925	1302
692	2929	1297
693	2931	1292
694	2934	1287
695	2937	1283
696	2940	1278
697	2943	1273
698	2945	1268
699	2948	1263
700	2951	1258
701	2954	1254
702	2956	1249
703	2959	1244
704	2962	1239
705	2965	1234
706	2968	1230
707	2970	1225
708	2973	1220
709	2976	1215
710	2979	1211
711	2982	1206
712	2984	1201
713	2987	1196
714	2990	1192
715	2993	1187
716	2996	1182
717	2999	1177
718	3002	1173
719	3005	1168
720	3008	1164
721	3011	1159
722	3013	1154
723	3016	1149
724	3019	1145
725	3022	1140
726	3024	1135
727	3027	1131
728	3030	1126
729	3033	1121
730	3036	1117
731	3039	1112
732	3041	1108
733	3044	1103
734	3047	1098
735	3050	1094
736	3055	1090
737	3080	1093
738	3083	1089
739	3086	1084
740	3089	1079
741	3091	1075
742	3094	1070
743	3097	1065
744	3100	1061
745	3103	1056
746	3105	1051
747	3108	1047
748	3111	1042
749	3113	1037
750	3116	1033
751	3119	1028
752	3122	1024
753	3124	1019
754	3127	1014
755	3130	1010
756	3133	1005
757	3135	1001
758	3138	996
759	3141	991
760	3144	987
761	3147	982
762	3149	978
763	3152	973
764	3155	969
765	3158	964
766	3161	960
767	3164	955
768	3166	951
769	3169	946
770	3172	942
771	3175	937
772	3178	933
773	3180	928
774	3183	924
775	3186	919
776	3189	915
777	3192	911
778	3195	906
779	3198	902
780	3201	897
781	3204	893
782	3207	888
783	3210	884
784	3213	880
785	3216	875
786	3219	871
787	3222	866
788	3224	862
789	3227	857
790	3230	853
791	3233	849
792	3235	844
793	3238	840
794	3241	835
795	3244	831
796	3247	827
797	3249	822
798	3252	818
799	3255	813
800	3258	809
801	3261	805
802	3263	800
803	3266	796
804	3269	791
805	3271	787
806	3274	783
807	3277	778
808	3279	774
809	3282	769
810	3285	765
811	3288	761
812	3290	756
813	3293	752
814	3296	748
815	3299	744
816	3302	739
817	3305	735
818	3307	731
819	3310	726
820	3313	722
821	3315	718
822	3318	713
823	3321	709
824	3324	705
825	3326	700
826	3329	696
827	3332	692
828	3334	687
829	3337	683
830	3340	679
831	3342	675
832	3345	670
833	3348	666
834	3351	662
835	3353	657
836	3356	653
837	3359	649
838	3362	645
839	3364	640
840	3367	636
841	3370	632
842	3372	628
843	3375	623
844	3378	619
845	3381	615
846	3384	611
847	3386	607
848	3389	602
849	3392	598
850	3395	594
851	3398	590
852	3400	586
853	3403	581
854	3406	577
855	3410	573
856	3413	569
857	3416	565
858	3419	561
859	3422	557
860	3424	552
861	3427	548
862	3430	544
863	3432	540
864	3435	536
865	3438	532
866	3441	527
867	3443	523
868	3446	519
869	3449	515
870	3451	511
871	3454	507
872	3457	502
873	3459	498
874	3462	494
875	3465	490
876	3467	486
877	3470	482
878	3473	478
879	3476	474
880	3478	469
881	3481	465
882	3484	461
883	3487	457
884	3489	453
885	3492	449
886	3495	445
887	3498	441
888	3500	437
889	3503	433
890	3506	428
891	3508	424
892	3511	420
893	3514	416
894	3517	412
895	3519	408
896	3522	404
897	3525	400
898	3528	396
899	3530	392
900	3533	388
901	3536	384
902	3538	380
903	3541	376
904	3544	372
905	3546	368
906	3549	363
907	3552	359
908	3555	355
909	3557	351
910	3560	347
911	3563	343
912	3566	339
913	3568	335
914	3571	331
915	3574	327
916	3576	323
917	3580	319
918	3583	315
919	3586	311
920	3589	307
921	3592	303
922	3595	299
923	3598	295
924	3601	291
925	3603	287
926	3606	283
927	3609	280
928	3611	276
929	3614	272
930	3617	268
931	3620	264
932	3623	260
933	3625	256
934	3628	252
935	3631	248
936	3633	244
937	3636	240
938	3639	236
939	3642	232
940	3644	228
941	3647	224
942	3650	220
943	3652	216
944	3655	212
945	3658	208
946	3661	204
947	3663	200
948	3666	197
949	3669	193
950	3671	189
951	3674	185
952	3676	181
953	3679	177
954	3682	173
955	3685	169
956	3687	165
957	3690	161
958	3693	157
959	3695	153
960	3698	150
961	3701	146
962	3705	142
963	3708	138
964	3711	134
965	3714	130
966	3717	126
967	3720	122
968	3723	119
969	3725	115
970	3728	111
971	3731	107
972	3734	103
973	3736	99
974	3739	95
975	3742	92
976	3744	88
977	3747	84
978	3750	80
979	3753	76
980	3755	72
981	3758	68
982	3761	65
983	3764	61
984	3767	57
985	3770	53
986	3772	49
987	3775	45
988	3778	42
989	3781	38
990	3783	34
991	3786	30
992	3789	26
993	3791	22
994	3795	19
995	3797	15
996	3800	11
997	3803	7
998	3805	3
999	3809	0
